"section","section_title","status","internal_id","citation","title","enacted_date","validity_status","validity_verified_date","nodes_built","issue","resolution","notes"
"2","Điều header without a period","Resolved","","37/2013/QH13","Luật Sửa đổi, bổ sung Điều 170 của Luật Doanh nghiệp số 37/2013/QH13","2013-06-20","het_hieu_luc","","2","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","41-LCT/HĐNN8","Luật Sửa đổi, bổ sung một số điều của Luật Đầu tư nước ngoài tại Việt Nam số 41-LCT/HĐNN8","1990-06-30","het_hieu_luc","","2","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","45/LCT","Luật Sửa đổi và bổ sung Luật Nghĩa vụ quân sự số 45/LCT","1965-04-10","het_hieu_luc","","5","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","46/2005/QH11","Luật sửa đổi, bổ sung một số điều của Luật Khoáng sản số 46/2005/QH11","2005-06-14","het_hieu_luc","","74","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","50/LCT","Luật Sửa đổi và bổ sung Luật Nghĩa vụ quân sự số 50/LCT","1962-10-26","het_hieu_luc","","9","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","56/2014/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Quốc tịch Việt Nam số 56/2014/QH13","2014-06-24","het_hieu_luc_mot_phan","","6","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","61/2014/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam số 61/2014/QH13","2014-11-21","het_hieu_luc_mot_phan","","177","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText","See §7 in the .md — separate node-shape issue (quoted Khoản mis-nested), resolved via §12c's quote-suppression fix"
"2","Điều header without a period","Resolved","","63/2010/QH12","Luật Sửa đổi, bổ sung một số điều của Luật Bầu cử đại biểu Quốc hội và Luật Bầu cử đại biểu Hội đồng nhân dân số 63/2010/QH12","2010-11-24","het_hieu_luc","","137","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"2","Điều header without a period","Resolved","","72/2014/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam số 72/2014/QH13","2014-11-27","het_hieu_luc_mot_phan","","52","Điều header without period — 0 document_node rows","Nodes rebuilt from stored fullText",""
"3","Attributes-tab content leaked into fullText","Resolved","","35/2002/QH10","Luật Sửa đổi, bổ sung một số điều của Bộ luật Lao động số 35/2002/QH10","2002-04-02","het_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","50/2019/QH14","Luật sửa đổi, bổ sung một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ số 50/2019/QH14","2019-11-25","het_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","52/2019/QH14","Luật sửa đổi, bổ sung một số điều của Luật cán bộ, công chức và Luật viên chức số 52/2019/QH14","2019-11-25","het_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","106/2016/QH13","Luật Sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng, Luật Thuế tiêu thụ đặc biệt và Luật Quản lý thuế số 106/2016/QH13","2016-04-06","het_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)","Also confirmed original_document_urls populated alongside null fullText"
"3","Attributes-tab content leaked into fullText","Resolved","","105/2025/QH15","Luật Giám định tư pháp số 105/2025/QH15","2025-12-05","con_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","141/2025/QH15","Luật Sửa đổi, bổ sung một số điều của Luật Quản lý nợ công số 141/2025/QH15","2025-12-10","con_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","11/2003/PL-UBTVQH11","Pháp lệnh số 11/2003/PL-UBTVQH11 Sửa đổi, bổ sung một số điều của Pháp lệnh Cán bộ, công chức","2003-04-29","het_hieu_luc","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)",""
"3","Attributes-tab content leaked into fullText","Resolved","","15/2004/PL-UBTVQH11","Pháp lệnh số 15/2004/PL-UBTVQH11 Giống cây trồng","2004-03-24","","","0","No Nội dung tab on vbpl.vn — Thuộc tính table mis-captured as fullText","fullText corrected to null (verified live)","vbpl.vn has no Tình trạng hiệu lực field for this document"
"4","Citation collision","Resolved","887","Không số","Luật Hôn nhân và gia đình","1959-12-29","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","888","Không số","Luật Bầu cử Đại biểu Quốc hội","1959-12-31","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","886","Không số","Luật Nghĩa vụ quân sự","1960-04-15","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","884","Không số","Luật Tổ chức Hội đồng Chính phủ","1960-07-14","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","883","Không số","Luật Tổ chức Quốc hội","1960-07-14","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","882","Không số","Luật Tổ chức Tòa án nhân dân","1960-07-14","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","1533","Không số","Luật Bầu cử Đại biểu Quốc hội","1980-12-18","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","4090","3-LCT/HĐNN7","Luật Tổ chức Viện kiểm sát nhân dân","1981-07-04","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Tổ chức Tòa án nhân dân (id 4091)","Resolved as won't-fix — confirmed expired, out of scope","Reused-batch-number collision, not a Không số case"
"4","Citation collision","Resolved","3871","Không số","Luật Nghĩa vụ quân sự","1981-12-30","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","3637","Không số","Luật Tổ chức Hội đồng nhân dân và Uỷ ban nhân dân","1983-06-30","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","3483","Không số","Luật Bầu cử đại biểu Hội đồng nhân dân","1983-12-26","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","3274","Không số","Bộ luật Hình sự","1985-06-27","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2798","Không số","Luật Hôn nhân và gia đình","1986-12-29","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2565","Không số","Luật Đầu tư nước ngoài tại Việt Nam","1987-12-29","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2566","Không số","Luật Đất đai","1987-12-29","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2564","Không số","Luật Thuế xuất khẩu, thuế nhập khẩu hàng mậu dịch","1987-12-29","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2558","Không số","Luật Quốc tịch Việt Nam","1988-06-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2559","Không số","Bộ luật Tố tụng hình sự","1988-06-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2325","Không số","Luật Sửa đổi, bổ sung Luật Tổ chức Tòa án nhân dân","1988-12-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2324","Không số","Luật Sửa đổi, bổ sung Luật Tổ chức Viện kiểm sát nhân dân","1988-12-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","2064","270B-NQ/HĐNN8","Luật Thuế Doanh thu","1990-06-30","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Thuế Tiêu thụ đặc biệt (id 2062)","Resolved as won't-fix — confirmed expired, out of scope","Reused-batch-number collision, not a Không số case"
"4","Citation collision","Resolved","1816","Không số","Luật Doanh nghiệp tư nhân","1990-12-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","1814","Không số","Luật Sửa đổi, bổ sung một số điều của Luật về Sỹ quan Quân đội nhân dân Việt Nam","1990-12-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","1817","Không số","Luật Công ty","1990-12-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","1815","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Nghĩa vụ quân sự","1990-12-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11596","Không số","Luật Bảo vệ, chăm sóc và giáo dục trẻ em","1991-08-12","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11593","Không số","Luật Bảo vệ và phát triển rừng","1991-08-12","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11595","Không số","Luật Phổ cập giáo dục tiểu học","1991-08-12","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11594","Không số","Luật Sửa đổi, bổ sung một số điều của Bộ luật Hình sự","1991-08-12","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11226","Không số","Luật Tổ chức Chính phủ","1992-09-30","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11225","Không số","Luật Tổ chức Tòa án nhân dân","1992-10-06","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","11224","Không số","Luật Tổ chức Viện kiểm sát nhân dân","1992-10-08","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10821","Không số","Luật Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự","1992-12-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10822","Không số","Luật Sửa đổi, bổ sung một số điều của Bộ luật Hình sự","1992-12-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10820","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Đầu tư nước ngoài tại Việt Nam","1992-12-23","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10805","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Xuất khẩu, thuế Nhập khẩu","1993-07-05","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10806","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Tiêu thụ đặc biệt","1993-07-05","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10808","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Doanh thu","1993-07-05","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10807","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Lợi tức","1993-07-06","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10804","Không số","Luật Xuất bản","1993-07-07","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10802","Không số","Luật Đất đai","1993-07-14","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10435","Không số","Luật Bảo vệ môi trường","1993-12-27","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10433","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Tổ chức Tòa án nhân dân","1993-12-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10434","Không số","Luật Phá sản doanh nghiệp","1993-12-30","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10426","Không số","Luật Bầu cử đại biểu Hội đồng nhân dân","1994-06-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10420","Không số","Luật Tổ chức Hội đồng nhân dân và Uỷ ban nhân dân","1994-06-21","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10422","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Nghĩa vụ quân sự","1994-06-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10421","Không số","Luật Thuế Chuyển quyền sử dụng đất","1994-06-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10423","Không số","Luật Sửa đổi một số điều của Luật Doanh nghiệp tư nhân","1994-06-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10425","Không số","Luật Khuyến khích đầu tư trong nước","1994-06-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10424","Không số","Luật Sửa đổi một số điều của Luật Công ty","1994-06-22","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","10427","Không số","Bộ luật Lao động","1994-06-23","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9954","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam","1995-04-20","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9955","Không số","Luật Doanh nghiệp Nhà nước","1995-04-20","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9702","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Tổ chức Tòa án nhân dân","1995-10-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9684","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Tiêu thụ đặc biệt","1995-10-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9703","Không số","Luật Sửa đổi, bổ sung một số điều của Luật Thuế Doanh thu","1995-10-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9683","Không số","Bộ luật Dân sự","1995-10-28","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9414","Không số","Luật Hợp tác xã","1996-03-20","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9413","Không số","Luật Khoáng sản","1996-03-20","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9412","Không số","Luật Ngân sách Nhà nước","1996-03-20","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","9028","Không số","Luật Ban hành Văn bản quy phạm pháp luật","1996-11-12","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","8532","Không số","Luật Thương mại","1997-05-10","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","8533","Không số","Luật Sửa đổi, bổ sung một số điều của Bộ luật Hình sự","1997-05-10","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","8535","Không số","Luật Thuế thu nhập doanh nghiệp","1997-05-10","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","8534","Không số","Luật Thuế giá trị gia tăng","1997-05-10","het_hieu_luc","2026-08-01","","Blocked — citation held by Luật Cải cách ruộng đất (id 1105)","Resolved as won't-fix — confirmed expired, out of scope",""
"4","Citation collision","Resolved","1105","Không số (vbpl-1105)","Luật Cải cách ruộng đất","1953-12-04","con_hieu_luc","2026-08-01","","Original occupant of bare Không số — no real collision, but còn hiệu lực, so relabeled for consistency","Renamed to Không số (vbpl-1105); never actually lost",""
"4","Citation collision","Resolved","25506","Không số (vbpl-25506)","Luật Bảo vệ sức khỏe nhân dân","1989-06-30","con_hieu_luc","2026-08-01","66","Blocked by Luật Cải cách ruộng đất (Không số) despite còn hiệu lực","Disambiguated to Không số (vbpl-25506), indexed",""
"4","Citation collision","Resolved","10803","Không số (vbpl-10803)","Luật Thuế sử dụng đất nông nghiệp","1993-07-10","con_hieu_luc","2026-08-01","80","Blocked by Luật Cải cách ruộng đất (Không số) despite còn hiệu lực","Disambiguated to Không số (vbpl-10803), indexed",""
"4","Citation collision","Resolved","8611","Không số (vbpl-8611)","Luật Bầu cử Đại biểu Quốc hội","1997-04-15","con_hieu_luc","2026-08-01","117","Blocked by Luật Cải cách ruộng đất (Không số) despite còn hiệu lực","Disambiguated to Không số (vbpl-8611), indexed",""
"5","issuing_body mis-attributed to drafting ministry","Resolved","","149/2025/QH15","Luật sửa đổi, bổ sung một số điều của Luật Thuê giá trị gia tăng số 149/2025/QH15","","","","","issuing_body = Bộ Tài chính (Luật/Bộ luật restricted to Quốc hội)","Corrected to Quốc hội",""
"5","issuing_body mis-attributed to drafting ministry","Resolved","","135/2025/QH15","Luật Xây dựng số 135/2025/QH15","","","","","issuing_body = Bộ Xây dựng (Luật/Bộ luật restricted to Quốc hội)","Corrected to Quốc hội",""
"5","issuing_body mis-attributed to drafting ministry","Resolved","","118/2025/QH15","Luật sửa đổi, bổ sung một số điều của 10 luật có liên quan đến an ninh, trật tự số 118/2025/QH15","","","","","issuing_body = Bộ Công an (Luật/Bộ luật restricted to Quốc hội)","Corrected to Quốc hội",""
"5","issuing_body mis-attributed to drafting ministry","Resolved","","11/2016/UBTVQH13","Pháp lệnh số 11/2016/UBTVQH13 Quản lý thị trường","","","","","issuing_body = Quốc hội (Pháp lệnh restricted to UBTVQH)","Corrected to Uỷ ban Thường vụ Quốc hội",""
"5","issuing_body mis-attributed to drafting ministry","Resolved","","15/2004/PL-UBTVQH11","Pháp lệnh số 15/2004/PL-UBTVQH11 Giống cây trồng","","","","","issuing_body = Bộ Nông nghiệp và Môi trường (Pháp lệnh restricted to UBTVQH)","Corrected to Uỷ ban Thường vụ Quốc hội",""
"6","Tier-3 100-document pass — three pipeline bugs","Info — no action needed","14102","34/2007/PL-UBTVQH11","Pháp lệnh số 34/2007/PL-UBTVQH11 Thực hiện dân chủ ở xã, phường, thị trấn","2007-04-20","het_hieu_luc_mot_phan","","","Duplicate URL for same document (also id 113212)","Skipped, harmless — not a real collision",""
"6","Tier-3 100-document pass — three pipeline bugs","Info — no action needed","19407","15/2004/PL-UBTVQH11","Pháp lệnh số 15/2004/PL-UBTVQH11 Giống cây trồng","2004-03-24","het_hieu_luc","","","Duplicate URL for same document (also id 104418)","Skipped, harmless — not a real collision",""
